collected_at,error,matched_keywords,price_krw,result_title,source,status,url
20260614T072339Z,,"선크림,크림",,"이즈앤트리 올리브영, 이즈앤트리 선크림",algumon,200,https://www.algumon.com/l/d/992564?v=d9d7c03dbdf1b1c509ea276267a3fc50&t=1781421863958
20260614T072339Z,,클렌징,,질레트 랩스 딥클렌징바 LCK 레전드팩,algumon,200,https://www.algumon.com/l/d/992556?v=a34053ecc1a6c482d5d5febf7eddca86&t=1781421863959
