baseline_note,best_pack_count,best_package_price,best_title,best_url,brand,category,current_min_price,deal_score_proxy,discount_vs_median_pct,market_median_price,result_count,seed_product,seed_query,snapshot_at,volume_hint
current Danawa matched-result median normalized to one seed-size item; not historical,1,13840,라운드 랩 자작 나무 수분 선크림 50ml,https://prod.danawa.com/info/?pcode=11991947&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,라운드랩,선케어,13840,100,25.3,18517,6,자작나무 수분 선크림,라운드랩 자작나무 선크림,20260614T072530Z,50ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,15280,아비브 어성초 선 에센스 카밍 드롭 50ml,https://prod.danawa.com/info/?pcode=117606866&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&cate=1833257,아비브,선케어,15280,95,22.7,19755,4,어성초 선 에센스,아비브 어성초 선 에센스,20260614T072530Z,50ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,18797,라로슈 포제 안뗄리오스 울트라 선크림 50ml,https://prod.danawa.com/info/?pcode=116119555&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,라로슈포제,선케어,18797,79,14.8,22060,4,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,20260614T072530Z,50ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,20250,이니스프리 레티놀 시카 흔적 앰플 30ml,https://prod.danawa.com/info/?pcode=28468094&keyword=%EC%9D%B4%EB%8B%88%EC%8A%A4%ED%94%84%EB%A6%AC+%EB%A0%88%ED%8B%B0%EB%86%80+%EC%8B%9C%EC%B9%B4+%EC%95%B0%ED%94%8C&cate=18255393,이니스프리,앰플,20250,68,9.2,22300,3,레티놀 시카 흔적 앰플,이니스프리 레티놀 시카 앰플,20260614T072530Z,30ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,18810,에스트라 아토베리어 365 크림 (구) 80ml,https://prod.danawa.com/info/?pcode=6521915&keyword=%EC%97%90%EC%8A%A4%ED%8A%B8%EB%9D%BC+%EC%95%84%ED%86%A0%EB%B2%A0%EB%A6%AC%EC%96%B4365+%ED%81%AC%EB%A6%BC&cate=18355397,에스트라,크림,18810,65,7.7,20375,4,아토베리어365 크림,에스트라 아토베리어365 크림,20260614T072530Z,80ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,12420,스킨 1004 마다가스카르 센텔라 톤 브라이트닝 캡슐 앰플 100ml,https://prod.danawa.com/info/?pcode=118749221&keyword=%EC%8A%A4%ED%82%A81004+%EC%84%BC%ED%85%94%EB%9D%BC+%EC%95%B0%ED%94%8C&cate=18255393,스킨1004,앰플,12420,61,5.8,13180,4,마다가스카르 센텔라 앰플,스킨1004 센텔라 앰플,20260614T072530Z,100ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,13790,셀리맥스 노니 에너지 앰플 30ml,https://prod.danawa.com/info/?pcode=40780628&keyword=%EC%85%80%EB%A6%AC%EB%A7%A5%EC%8A%A4+%EB%85%B8%EB%8B%88+%EC%95%B0%ED%94%8C&cate=18255393,셀리맥스,앰플,13790,57,3.9,14345,2,노니 앰플,셀리맥스 노니 앰플,20260614T072530Z,30ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,12400,아누아 어성초 77 % 진정 토너 250ml,https://prod.danawa.com/info/?pcode=71589449&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,아누아,토너,12400,50,0.0,12400,1,어성초 77 수딩 토너,아누아 어성초 77 토너,20260614T072530Z,250ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,13610,일리윤 세라마이드 아토 집중 크림 200ml,https://prod.danawa.com/info/?pcode=5513881&keyword=%EC%9D%BC%EB%A6%AC%EC%9C%A4+%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C+%EC%95%84%ED%86%A0+%EC%A7%91%EC%A4%91+%ED%81%AC%EB%A6%BC&cate=18355397,일리윤,크림,13610,50,0.0,13610,1,세라마이드 아토 집중 크림,일리윤 세라마이드 아토 집중 크림,20260614T072530Z,200ml
current Danawa matched-result median normalized to one seed-size item; not historical,1,19550,니들리 데일리 토너 패드 60매,https://prod.danawa.com/info/?pcode=12587132&keyword=%EB%8B%88%EB%93%A4%EB%A6%AC+%EB%8D%B0%EC%9D%BC%EB%A6%AC+%ED%86%A0%EB%84%88+%ED%8C%A8%EB%93%9C&cate=18255391,니들리,패드,19550,50,0.0,19550,2,데일리 토너 패드,니들리 데일리 토너 패드,20260614T072530Z,60매
