collected_at,excluded_reason,match_score,match_status,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,product_key,source,title,url,usable_for_baseline
2026-06-15T08:46:26Z,,80,candidate,40050,1,ml,50.0,40050,조선미녀맑은쌀선크림50ml,danawa,SSG 뷰티톤업 조선 미녀 맑은 쌀 선크림 50ml 1개 SPF50 안티에이징 주름개선 탄력강화 PA,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701304502&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131917591&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,30290,3,ml,50.0,90870,조선미녀맑은쌀선크림50ml,danawa,SSG 뷰티톤업 조선 미녀 맑은 쌀 선크림 아쿠아 프레쉬 50ml 3개,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701304661&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131915952&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,27835,4,ml,50.0,111340,조선미녀맑은쌀선크림50ml,danawa,조선 미녀 뷰티톤업 조선 미녀 영양친구 맑은 쌀 선크림 50ml 4개,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701295278&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131914591&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,10005,2,ml,50.0,20010,조선미녀맑은쌀선크림50ml,danawa,조선 미녀 맑은 쌀 선크림 50ml 기획 (+10ml x 2개),https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE715&link_prod_c=F394135772&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131918538&cate=1833257,True
2026-06-15T08:46:26Z,mask_or_pack_variant,80,excluded,10350,2,ml,50.0,20700,조선미녀맑은쌀선크림50ml,danawa,크리클팩토리 조선 미녀 조선 미녀 맑은 쌀 선크림 50ml 기획 (+10ml x 2개),https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE128&link_prod_c=4588413412&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131911924&cate=1833257,False
2026-06-15T08:46:26Z,,90,candidate,11070,1,ml,50.0,11070,닥터지그린마일드업선플러스50ml,danawa,닥터지 그린 마일드 업 선 플러스 50ml,https://prod.danawa.com/info/?pcode=11187765&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,True
2026-06-15T08:46:26Z,,90,candidate,11700,2,ml,50.0,23400,닥터지그린마일드업선플러스50ml,danawa,닥터지 그린 마일드 업 선 플러스 50ml 2개+10ml 3개,https://prod.danawa.com/info/?pcode=116413744&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,True
2026-06-15T08:46:26Z,volume_mismatch,70,excluded,9720,1,ml,35.0,9720,닥터지그린마일드업선플러스50ml,danawa,닥터지 그린 마일드 업 선 플러스 35ml,https://prod.danawa.com/info/?pcode=13822634&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,False
2026-06-15T08:46:26Z,,90,candidate,16070,2,ml,50.0,32140,닥터지그린마일드업선플러스50ml,danawa,닥터지 그린 마일드 업 선 플러스 50ml 2개+10ml 2개,https://prod.danawa.com/info/?pcode=79702583&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,True
2026-06-15T08:46:26Z,,90,candidate,15960,2,ml,50.0,31920,닥터지그린마일드업선플러스50ml,danawa,닥터지 그린 마일드 업 선 플러스 무기자차 50ml x2개 (SPF50+ PA++++),https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9288469503&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&r=17815131922291&cate=1833257,True
