bytes,checked_at,error,looks_blocked,snippet,source,status,url
110,20260614T071925Z,,False,User-agent: * Allow: / Disallow: /api Disallow: /session Disallow: /l/d/ User-agent: ias_crawler Disallow: /,algumon_robots,200,https://www.algumon.com/robots.txt
219678,20260614T071925Z,,False,"<!doctype html> <html lang=""ko""> <head> <meta name=""sentry-trace"" content=""6b98797257cb1a95c4a8cdf1cc2e4cbe-0abb71c2509190fb-0""/> <meta name=""baggage"" content=""sentry-environment=production,sentry-public_key=0611b4dc782",algumon_latest,200,https://www.algumon.com/n/deal
395,20260614T071925Z,,False,# ========================= # Danawa robots.txt # SEO Optimization Version # Updated: 2025-08-08 # ========================= # Global settings: Allow all major pages User-agent: * Disallow: /user_report/ Disall,danawa_robots,200,https://www.danawa.com/robots.txt
3258645,20260614T071925Z,,False,"<!DOCTYPE html><html xmlns=""http://www.w3.org/1999/xhtml"" xml:lang=""ko"" lang=""ko""> <head> <title>선크림 : 다나와 통합검색</title> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" /><meta http-equiv=""",danawa_search,200,https://search.danawa.com/dsearch.php?query=%EC%84%A0%ED%81%AC%EB%A6%BC
48996,20260614T071925Z,HTTP 403,True,"<!DOCTYPE html> <html lang=""ko""> <head> <meta charset=""UTF-8"" /> <meta http-equiv=""Content-Type"" content=""text/html;charset=utf-8"" /> <meta http-equiv=""Pragma"" content=""no-cache"" /> <meta http-equiv=""Ca",oliveyoung_robots,403,https://www.oliveyoung.co.kr/robots.txt
1507,20260614T071925Z,,False,############################## # MSS robots.txt # Last Updated: 2026.05.13 ############################## ############################## # Group 1: Fully Granted ############################## User-agent: Applebot User-,musinsa_robots,200,https://www.musinsa.com/robots.txt
