collected_at,error,matched_keywords,price_krw,result_title,source,status,url
20260614T072530Z,,"선크림,크림",,"이즈앤트리 올리브영, 이즈앤트리 선크림",algumon,200,https://www.algumon.com/l/d/992564?v=2f22a43230d18a129886b0f7a39b8401&t=1781421975912
20260614T072530Z,,클렌징,,질레트 랩스 딥클렌징바 LCK 레전드팩,algumon,200,https://www.algumon.com/l/d/992556?v=2f22a43230d18a129886b0f7a39b8401&t=1781421975912
