collected_at,error,matched_keywords,price_krw,result_title,source,status,url
20260614T072147Z,,"선크림,크림",,"이즈앤트리 올리브영, 이즈앤트리 선크림",algumon,200,https://www.algumon.com/l/d/992564?v=4de6b8a7d5c0fac4b32cfc6eb057309a&t=1781421752001
20260614T072147Z,,클렌징,,질레트 랩스 딥클렌징바 LCK 레전드팩,algumon,200,https://www.algumon.com/l/d/992556?v=4de6b8a7d5c0fac4b32cfc6eb057309a&t=1781421752001
