baseline_note,best_title,best_url,brand,category,current_min_price,deal_score_proxy,discount_vs_median_pct,market_median_price,result_count,seed_product,seed_query,snapshot_at,volume_hint
current Danawa search-result median; not historical,마녀 공장 퓨어 클렌징 오일 딥클린 200ml,https://prod.danawa.com/info/?pcode=30705413&keyword=%EB%A7%88%EB%85%80%EA%B3%B5%EC%9E%A5+%ED%93%A8%EC%96%B4+%ED%81%B4%EB%A0%8C%EC%A7%95+%EC%98%A4%EC%9D%BC&cate=18322866,마녀공장,클렌징,1160,100,94.8,22115,8,퓨어 클렌징 오일,마녀공장 퓨어 클렌징 오일,20260614T071925Z,200ml
current Danawa search-result median; not historical,코스알엑스 어드벤스드 스네일 96 뮤신 파워 에센스 100ml,https://prod.danawa.com/info/?pcode=3929170&keyword=%EC%BD%94%EC%8A%A4%EC%95%8C%EC%97%91%EC%8A%A4+%EC%8A%A4%EB%84%A4%EC%9D%BC+96+%EC%97%90%EC%84%BC%EC%8A%A4&cate=18255393,코스알엑스,에센스,1449,100,94.3,25530,8,어드밴스드 스네일 96 뮤신 에센스,코스알엑스 스네일 96 에센스,20260614T071925Z,100ml
current Danawa search-result median; not historical,에뛰드 하우스 순정 2x 베리어 보습 크림 60ml,https://prod.danawa.com/info/?pcode=5018784&keyword=%EC%97%90%EB%9B%B0%EB%93%9C+%EC%88%9C%EC%A0%95+2x+%EB%B2%A0%EB%A6%AC%EC%96%B4+%ED%81%AC%EB%A6%BC&cate=18355397,에뛰드,크림,1595,100,92.0,19950,8,순정 2x 베리어 크림,에뛰드 순정 2x 베리어 크림,20260614T071925Z,60ml
current Danawa search-result median; not historical,일리윤 세라마이드 아토 집중 크림 (구) 500ml,https://prod.danawa.com/info/?pcode=5478692&keyword=%EC%9D%BC%EB%A6%AC%EC%9C%A4+%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C+%EC%95%84%ED%86%A0+%EC%A7%91%EC%A4%91+%ED%81%AC%EB%A6%BC&cate=18355397,일리윤,크림,1148,100,89.1,10525,8,세라마이드 아토 집중 크림,일리윤 세라마이드 아토 집중 크림,20260614T071925Z,200ml
current Danawa search-result median; not historical,라운드 랩 자작 나무 수분 선크림 50ml,https://prod.danawa.com/info/?pcode=11991947&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,라운드랩,선케어,2388,100,88.2,20180,8,자작나무 수분 선크림,라운드랩 자작나무 선크림,20260614T071925Z,50ml
current Danawa search-result median; not historical,아비브 어성초 선 에센스 카밍 드롭 50ml SPF 50+ PA++++ 피부 자극 진정,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE715&link_prod_c=F506243898&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17814215803805&cate=1833257,아비브,선케어,3000,100,85.4,20501,8,어성초 선 에센스,아비브 어성초 선 에센스,20260614T071925Z,50ml
current Danawa search-result median; not historical,토리든 다이브 인 저분자 히알루론산 세럼 50ml,https://prod.danawa.com/info/?pcode=111633540&keyword=%ED%86%A0%EB%A6%AC%EB%93%A0+%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8+%EC%84%B8%EB%9F%BC&cate=18255393,토리든,세럼,2582,100,83.7,15881,8,다이브인 세럼,토리든 다이브인 세럼,20260614T071925Z,50ml
current Danawa search-result median; not historical,이니스프리 레티놀 시카 앰플 포커싱 패치 9매,https://prod.danawa.com/info/?pcode=89517977&keyword=%EC%9D%B4%EB%8B%88%EC%8A%A4%ED%94%84%EB%A6%AC+%EB%A0%88%ED%8B%B0%EB%86%80+%EC%8B%9C%EC%B9%B4+%EC%95%B0%ED%94%8C&cate=1833746,이니스프리,앰플,1171,100,80.4,5979,8,레티놀 시카 흔적 앰플,이니스프리 레티놀 시카 앰플,20260614T071925Z,30ml
current Danawa search-result median; not historical,아누아 어성초 77 % 진정 토너 250ml,https://prod.danawa.com/info/?pcode=71589449&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,아누아,토너,6960,100,77.1,30450,8,어성초 77 수딩 토너,아누아 어성초 77 토너,20260614T071925Z,250ml
current Danawa search-result median; not historical,[대용량흔적 패드 ] mediheal l 마데카소사이드 흔적 패드 리필 떠블기획 집게 포함 메디힐 네모 패드 MEDIHEAL PAD 1개 200개입,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228214&cate_c4=229609&cmpny_c=TP40F&link_prod_c=I25295285026&keyword=%EB%A9%94%EB%94%94%ED%9E%90+%EB%A7%88%EB%8D%B0%EC%B9%B4%EC%86%8C%EC%82%AC%EC%9D%B4%EB%93%9C+%ED%8C%A8%EB%93%9C&r=17814216103766&cate=1833746,메디힐,패드,10000,100,71.5,35045,8,마데카소사이드 흔적 패드,메디힐 마데카소사이드 패드,20260614T071925Z,100매
current Danawa search-result median; not historical,바이오더마 센시비오 H2O 클렌징 워터 100ml,https://prod.danawa.com/info/?pcode=57241754&keyword=%EB%B0%94%EC%9D%B4%EC%98%A4%EB%8D%94%EB%A7%88+%EC%84%BC%EC%8B%9C%EB%B9%84%EC%98%A4+H2O&cate=18322872,바이오더마,클렌징워터,5428,100,67.8,16860,8,센시비오 H2O,바이오더마 센시비오 H2O,20260614T071925Z,500ml
current Danawa search-result median; not historical,에스트라 아토베리어 365 크림 미스트 120ml,https://prod.danawa.com/info/?pcode=14056271&keyword=%EC%97%90%EC%8A%A4%ED%8A%B8%EB%9D%BC+%EC%95%84%ED%86%A0%EB%B2%A0%EB%A6%AC%EC%96%B4365+%ED%81%AC%EB%A6%BC&cate=1833204,에스트라,크림,1079,100,66.7,3237,8,아토베리어365 크림,에스트라 아토베리어365 크림,20260614T071925Z,80ml
current Danawa search-result median; not historical,셀리맥스 더 리얼 노니 에너지 앰플 미스트 50ml,https://prod.danawa.com/info/?pcode=10320222&keyword=%EC%85%80%EB%A6%AC%EB%A7%A5%EC%8A%A4+%EB%85%B8%EB%8B%88+%EC%95%B0%ED%94%8C&cate=1833204,셀리맥스,앰플,1758,100,62.8,4731,8,노니 앰플,셀리맥스 노니 앰플,20260614T071925Z,30ml
current Danawa search-result median; not historical,라로슈 포제 안뗄리오스 울트라 선크림 50ml,https://prod.danawa.com/info/?pcode=116119555&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,라로슈포제,선케어,3759,100,61.8,9830,8,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,20260614T071925Z,50ml
current Danawa search-result median; not historical,라운드 랩 1025 독도 토너 200ml,https://prod.danawa.com/info/?pcode=4926856&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EB%8F%85%EB%8F%84+%ED%86%A0%EB%84%88&cate=18255391,라운드랩,토너,9550,100,48.3,18475,8,1025 독도 토너,라운드랩 독도 토너,20260614T071925Z,200ml
current Danawa search-result median; not historical,넘버즈인 3번 참은만큼 보들보들 결 세럼 팩,https://prod.danawa.com/info/?pcode=30358436&keyword=%EB%84%98%EB%B2%84%EC%A6%88%EC%9D%B8+3%EB%B2%88+%EC%84%B8%EB%9F%BC&cate=1833746,넘버즈인,세럼,1550,100,47.0,2922,8,3번 보들보들 결 세럼,넘버즈인 3번 세럼,20260614T071925Z,50ml
current Danawa search-result median; not historical,닥터지 그린 마일드 업 선 플러스 50ml,https://prod.danawa.com/info/?pcode=11187765&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,닥터지,선케어,2131,100,44.5,3840,8,그린 마일드 업 선 플러스,닥터지 그린 마일드 업 선 플러스,20260614T071925Z,50ml
current Danawa search-result median; not historical,조선 미녀 맑은 쌀 선크림 50ml,https://prod.danawa.com/info/?pcode=27548912&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,조선미녀,선케어,1680,100,44.0,3000,8,맑은쌀 선크림,조선미녀 맑은쌀 선크림,20260614T071925Z,50ml
current Danawa search-result median; not historical,니들리 데일리 토너 패드 60매,https://prod.danawa.com/info/?pcode=12587132&keyword=%EB%8B%88%EB%93%A4%EB%A6%AC+%EB%8D%B0%EC%9D%BC%EB%A6%AC+%ED%86%A0%EB%84%88+%ED%8C%A8%EB%93%9C&cate=18255391,니들리,패드,19550,100,34.6,29885,8,데일리 토너 패드,니들리 데일리 토너 패드,20260614T071925Z,60매
current Danawa search-result median; not historical,스킨 1004 마다가스카르 센텔라 톤 브라이트닝 캡슐 앰플 100ml,https://prod.danawa.com/info/?pcode=118749221&keyword=%EC%8A%A4%ED%82%A81004+%EC%84%BC%ED%85%94%EB%9D%BC+%EC%95%B0%ED%94%8C&cate=18255393,스킨1004,앰플,1242,82,16.0,1478,8,마다가스카르 센텔라 앰플,스킨1004 센텔라 앰플,20260614T071925Z,100ml
